,didomiVendorsConsent,page.section,page.subSection,page.name,page.language,page.category,page.subCategory,page.subSubCategory,page.template,page.position,user.status,response.statusCode,response.loadBalancer,ad.id,ad.operation,ad.typology,ad.address.municipalityId,ad.address.provinceId,ad.address.locationId,ad.address.locationLevel,ad.builtType,ad.energyCertification.type,ad.energyCertification.suffix,ad.price,ad.characteristics.roomNumber,ad.characteristics.bathNumber,ad.characteristics.hasLift,ad.characteristics.hasParking,ad.characteristics.hasGarden,ad.characteristics.hasSwimmingPool,ad.characteristics.hasTerrace,ad.characteristics.constructedArea,ad.condition.isNewDevelopment,ad.condition.isNeedsRenovating,ad.condition.isGoodCondition,ad.media.photoNumber,ad.media.videoNumber,ad.media.hasFloorPlan,ad.media.has3Dtour,ad.media.hasHomeStaging,ad.owner.type,ad.owner.commercialId,ad.owner.commercialName,ad.owner.contactPreference,ad.owner.chatIsActive,ad.origin,ad.isRecommended,ad.isSuitableForRecommended,ad.numberRecommended,ad.originTypeRecommended,ad.typeRecommended,ad.isAuction,ad.recommendationId,ad.vtRecommendationAdId,ad.vtRecommendationId,ad.isFavourite,search.operation,search.typology,search.geo.type,search.geo.locationId,search.geo.locationLevel,search.orderBy,correlation.id,correlation.session,event.id,event.type,event.name,event.action,event.role,event.user_role,event.channel,event.origin,event.outcome,event.hash,event.markup.xtPage,event.markup.name,event.markup.category,event.markup.subCategory,event.markup.subSubCategory,event.productType,event.agencyNames,event.transactionId,post.id,post.time,latitude,longitude,distrito,barrio,planta,garaje,garaje_coste,int_ext,elevator,price_per_sqm
0,,portal,detail,home,es,detail,,,detail,,2,200,web,100001882,1,1,0-EU-ES-28-07-001-079,0-EU-ES-28,0-EU-ES-28-07-001-079-12-005,8,3,g,spainDefault,228000.0,1.0,1.0,1,0,0,0,1,60.0,0,0,1,9,0,1,0,0,1,,,1,1,1,0,1,,,,0,,,,0,1,1,OFFICIAL_ZONE,0-EU-ES-28-07-001-079-12-005,8,relevance-desc,08554693-3729-4856-985e-2e74e656bd69,e11343da-65e9-4ebd-90ea-b60b5210df63,,,,,,,,,,,,,,,,,[],,aa11bf5d-330b-4c02-b27b-e8deec0ce4b7,1676319198713,40.3861562,-3.7038117,Usera,Moscardó,5,None,0.0,exterior,yes,3800.0
0,,portal,detail,home,es,detail,,,detail,,2,200,web,100002266,1,1,0-EU-ES-28-07-001-079,0-EU-ES-28,0-EU-ES-28-07-001-079-02-005,8,3,e,spainDefault,344000.0,3.0,1.0,1,1,0,0,1,88.0,0,0,1,21,0,0,0,0,1,,,1,1,1,0,1,,,,0,,,,0,1,1,OFFICIAL_ZONE,0-EU-ES-28-07-001-079-02-005,8,relevance-desc,3ab594b4-ac33-427b-b684-118a2b4c227e,e11343da-65e9-4ebd-90ea-b60b5210df63,,,,,,,,,,,,,,,,,[],,069985ed-471f-47f9-8f80-07c60ce7d826,1676317475107,40.3924556,-3.6939024,Arganzuela,Delicias,1,optional,10000.0,interior,yes,3909.090909090909
0,,portal,detail,home,es,detail,,,detail,,2,200,web,100003146,1,1,0-EU-ES-28-07-001-079,0-EU-ES-28,0-EU-ES-28-07-001-079-02-002,8,3,c,spainDefault,245000.0,2.0,1.0,0,0,0,0,0,51.0,0,0,1,25,0,0,0,0,1,,,2,1,1,0,1,,,,0,,,,0,1,1,OFFICIAL_ZONE,0-EU-ES-28-07-001-079-02-002,8,relevance-desc,b4c8a772-5001-4486-83f6-d04b2ce65911,e11343da-65e9-4ebd-90ea-b60b5210df63,,,,,,,,,,,,,,,,,[],,b789123d-5824-4c48-9fba-fd496786a265,1676303312932,40.4055881,-3.7068207,Arganzuela,Acacias,3,None,0.0,exterior,no,4803.921568627451
0,,portal,detail,home,es,detail,,,detail,,2,200,web,100004437,1,1,0-EU-ES-28-07-001-079,0-EU-ES-28,0-EU-ES-28-07-001-079-02-006,8,2,f,,175000.0,1.0,1.0,1,,,,,38.0,0,1,0,38,0,1,1,0,2,,hondalar,1,1,11,0,0,topHighlight,,,0,,,,0,1,1,OFFICIAL_ZONE,0-EU-ES-28-07-001-079-02-006,8,relevance-desc,4429d5f6-344d-46af-982d-0f219b200f09,e11343da-65e9-4ebd-90ea-b60b5210df63,,,,,,,,,,,,,,,,,[],,1bab54ce-63e7-486f-93a1-cd4e6331267b,1676299803414,40.4011511,-3.691816,Arganzuela,Palos de Moguer,4,None,0.0,interior,yes,4605.263157894737
0,,portal,detail,home,es,detail,,,detail,,2,200,web,100005820,1,1,0-EU-ES-28-07-001-079,0-EU-ES-28,0-EU-ES-28-07-001-079-02-005,8,3,a,spainDefault,615000.0,3.0,2.0,1,1,1,1,1,114.0,0,0,1,21,0,1,0,0,1,,,1,1,1,0,1,,,,0,,,,0,1,1,OFFICIAL_ZONE,0-EU-ES-28-07-001-079-02-005,8,relevance-desc,cec9ddae-3a6d-4636-a625-95690ad3e0d6,e11343da-65e9-4ebd-90ea-b60b5210df63,,,,,,,,,,,,,,,,,[],,dc8f993e-9991-4a7f-a14e-c8f89188b3e2,1676302338619,40.3991025,-3.6838399,Arganzuela,Delicias,5,Garaje incluido,0.0,exterior,yes,5394.736842105263
0,,portal,detail,home,es,detail,,,detail,,2,200,web,100006082,1,1,0-EU-ES-28-07-001-079,0-EU-ES-28,0-EU-ES-28-07-001-079-12-003,8,3,d,,250000.0,2.0,1.0,1,1,,,,115.0,0,0,1,50,1,0,0,0,2,,finanzatemadrid,1,1,11,0,1,,,,0,,,,0,1,1,OFFICIAL_ZONE,0-EU-ES-28-07-001-079-12-003,8,relevance-desc,3b719b01-3dff-4758-89a2-3c3b9ea7ed5e,e11343da-65e9-4ebd-90ea-b60b5210df63,,,,,,,,,,,,,,,,,[],,5f9eaae2-375f-4e79-82a3-18ab6f7dc642,1676321350189,40.3699524,-3.689934,Usera,San Fermín,7,Garaje incluido,0.0,exterior,yes,2173.913043478261
0,,portal,detail,home,es,detail,,,detail,,2,200,web,100008226,1,2,0-EU-ES-28-07-001-079,0-EU-ES-28,0-EU-ES-28-07-001-079-12-001,8,3,inProcess,,229000.0,3.0,2.0,0,,1,0,,81.0,0,0,1,31,0,0,0,0,2,,nuria-martin,1,1,4,0,1,,,,0,,,,0,1,2,OFFICIAL_ZONE,0-EU-ES-28-07-001-079-12-001,8,relevance-desc,b8d2b785-c528-411e-ae7c-2f0ad4cc8eb8,e11343da-65e9-4ebd-90ea-b60b5210df63,,,,,,,,,,,,,,,,,[],,767da0b4-70d3-4c23-8568-9546e2427f72,1676323562606,0.0,0.0,NaN,NaN,0,None,0.0,none,unknown,2827.1604938271603
0,,portal,detail,home,es,detail,,,detail,,2,200,web,100012610,1,1,0-EU-ES-28-07-001-079,0-EU-ES-28,0-EU-ES-28-07-001-079-02-005,8,3,e,,344000.0,3.0,1.0,1,0,0,0,1,62.0,0,0,1,22,0,0,0,0,2,,servifincas,1,0,12,0,1,,,,0,,,,0,1,1,OFFICIAL_ZONE,0-EU-ES-28-07-001-079-02-005,8,relevance-desc,755013f3-b943-450b-90b4-63369503825e,e11343da-65e9-4ebd-90ea-b60b5210df63,,,,,,,,,,,,,,,,,[],,e60b1b4a-8672-41cc-9a21-5121802a296d,1676316873256,40.3920186,-3.6920132,Arganzuela,Delicias,1,None,0.0,interior,yes,5548.387096774193
0,,portal,detail,home,es,detail,,,detail,,2,200,web,100013407,1,1,0-EU-ES-28-07-001-079,0-EU-ES-28,0-EU-ES-28-07-001-079-03-006,8,3,inProcess,,529000.0,3.0,3.0,1,,,,,115.0,0,0,1,49,0,1,1,0,2,,infocasaconsulting,1,0,11,0,1,,,,0,,,,0,1,1,OFFICIAL_ZONE,0-EU-ES-28-07-001-079-03-006,8,relevance-desc,1d091ddf-9dce-420c-855d-a6020ce22ec0,948b4ba8-7720-4b1b-b113-eb4da5fc83f6,,,,,,,,,,,,,,,,,[],,050e2e57-b18c-4d42-873e-18aacdc7bc46,1676482498817,40.4062689,-3.6779087,Retiro,Niño Jesús,2,None,0.0,exterior,yes,4600.0
0,,portal,detail,home,es,detail,,,detail,,2,200,web,100013802,1,1,0-EU-ES-28-07-001-079,0-EU-ES-28,0-EU-ES-28-07-001-079-12-005,8,3,inProcess,,99999.0,2.0,1.0,0,,,,1,58.0,0,0,1,20,2,1,0,0,2,,tecnocasa-moscardo-plaza-eliptica,1,0,11,0,1,,,,0,,,,0,1,1,OFFICIAL_ZONE,0-EU-ES-28-07-001-079-12-005,8,relevance-desc,4b93384d-e4d3-459b-9eb1-19fcc0a0934d,e11343da-65e9-4ebd-90ea-b60b5210df63,,,,,,,,,,,,,,,,,[],,abba85bb-c8d6-474a-a311-e6b6d7130956,1676319391227,40.3878226,-3.7153999,Usera,Moscardó,0,None,0.0,exterior,unknown,1724.1206896551723
